index,block,block_index,name,category,domain,official_url,fill_referral,referral_status,referral_label,your_referral_url,sources,on_both,
,=== ТОП — основные площадки (по приоритету трафика и рефок) ===,,,,,,,,,,,,
1,ТОП — начни отсюда,1,Bybit Web3 Platform,Биржи (CEX),bybit.com,https://bybit.com/en/web3/staking/BybitSOL,yes,manual_exchange,биржа — нужна твоя рефка,https://www.bybit.com/invite?ref=72K4BNJ&medium=referral&utm_campaign=evergreen,crypton+maxy,yes,
2,ТОП — начни отсюда,2,Bybit,Биржи (CEX),partner.bybit.com,https://partner.bybit.com/b/TOOLSXYZ,yes,manual_exchange,биржа — нужна твоя рефка,https://www.bybit.com/invite?ref=72K4BNJ&medium=referral&utm_campaign=evergreen,crypton,no,
3,ТОП — начни отсюда,3,Bitget,Биржи (CEX),bitget.com,https://bitget.com,yes,manual_exchange,биржа — нужна твоя рефка,https://www.bitgetapp.com/ru/referral/register?clacCode=KLYMEJ83&from=/ru/events/referral-all-program&source=events&utmSource=PremierInviter,maxy,no,
4,ТОП — начни отсюда,4,Bitget Wallet,Биржи (CEX),web3.bitget.com,https://web3.bitget.com/en/card,yes,manual_exchange,биржа — нужна твоя рефка,https://www.bitgetapp.com/ru/referral/register?clacCode=KLYMEJ83&from=/ru/events/referral-all-program&source=events&utmSource=PremierInviter,crypton,no,
5,ТОП — начни отсюда,5,BitGet,Биржи (CEX),partner.bitget.com,https://partner.bitget.com/bg/TL31FN,yes,manual_exchange,биржа — нужна твоя рефка,https://www.bitgetapp.com/ru/referral/register?clacCode=KLYMEJ83&from=/ru/events/referral-all-program&source=events&utmSource=PremierInviter,crypton,no,
6,ТОП — начни отсюда,6,OKX Wallet,Биржи (CEX),okx.com,https://okx.com/web3/dex-swap/bridge,yes,manual_exchange,биржа — нужна твоя рефка,https://okx.com/join/34020013,crypton+maxy,yes,
7,ТОП — начни отсюда,7,MEXC,Биржи (CEX),mexc.com,https://mexc.com,yes,manual_exchange,биржа — нужна твоя рефка,https://promote.mexc.com/r/g9TSiRMdfP,crypton+maxy,yes,
8,ТОП — начни отсюда,8,Gate,Биржи (CEX),gate.io,https://gate.io,yes,manual_exchange,биржа — нужна твоя рефка,https://www.gate.com/referral/earn-together/invite/UgBFUgoO?ref=UgBFUgoO&ref_type=103&utm_cmp=rXJBDjtJ&activity_id=1781161013843,maxy,no,
9,ТОП — начни отсюда,9,Gate.io,Биржи (CEX),gate.com,https://gate.com,yes,manual_exchange,биржа — нужна твоя рефка,https://www.gate.com/referral/earn-together/invite/UgBFUgoO?ref=UgBFUgoO&ref_type=103&utm_cmp=rXJBDjtJ&activity_id=1781161013843,crypton,no,
10,ТОП — начни отсюда,10,BingX,Биржи (CEX),bingx.com,https://bingx.com,yes,manual_exchange,биржа — нужна твоя рефка,https://bingxdao.com/invite/3ATJTW/,crypton+maxy,yes,
11,ТОП — начни отсюда,11,KuCoin,Биржи (CEX),kucoin.com,https://kucoin.com,yes,manual_exchange,биржа — нужна твоя рефка,https://www.kucoin.com/ucenter/signup?rcode=QBSSW2K6&utm_source=app_g_Share,crypton,no,
12,ТОП — начни отсюда,12,Binance Academy,Биржи (CEX),academy.binance.com,https://academy.binance.com/en,no,no_program,скорее без рефки,https://www.binance.com/activity/referral-entry/CPA?ref=CPA_00CCMF6HEA,crypton,no,
13,ТОП — начни отсюда,13,Binance Launchpad,Биржи (CEX),launchpad.binance.com,https://launchpad.binance.com,no,no_program,скорее без рефки,https://www.binance.com/activity/referral-entry/CPA?ref=CPA_00CCMF6HEA,crypton,no,
14,ТОП — начни отсюда,14,Binance Loan,Биржи (CEX),binance.com,https://binance.com/en/alpha,yes,manual_exchange,биржа — нужна твоя рефка,https://www.binance.com/activity/referral-entry/CPA?ref=CPA_00CCMF6HEA,crypton+maxy,yes,
15,ТОП — начни отсюда,15,Binance Farming,Биржи (CEX),accounts.binance.com,https://accounts.binance.com,yes,manual_exchange,биржа — нужна твоя рефка,https://www.binance.com/activity/referral-entry/CPA?ref=CPA_00CCMF6HEA,crypton,no,
16,ТОП — начни отсюда,16,HTX,Биржи (CEX),huobi.com,https://huobi.com,yes,manual_exchange,биржа — нужна твоя рефка,,crypton,no,
17,ТОП — начни отсюда,17,BackPack,Биржи (CEX),backpack.exchange,https://backpack.exchange,yes,manual_exchange,биржа — нужна твоя рефка,,crypton+maxy,yes,
18,ТОП — начни отсюда,18,Hyperliquid,Биржи (CEX),app.hyperliquid.xyz,https://app.hyperliquid.xyz,yes,manual_exchange,биржа — нужна твоя рефка,,crypton+maxy,yes,
19,ТОП — начни отсюда,19,Kraken,Биржи (CEX),kraken.com,https://kraken.com,yes,manual_exchange,биржа — нужна твоя рефка,,crypton,no,
20,ТОП — начни отсюда,20,Coinbase Wallet,Биржи (CEX),coinbase.com,https://coinbase.com/commerce,yes,manual_exchange,биржа — нужна твоя рефка,,crypton+maxy,yes,
21,ТОП — начни отсюда,21,CoinW,Биржи (CEX),coinw.com,https://coinw.com,yes,manual_exchange,биржа — нужна твоя рефка,,crypton,no,
22,ТОП — начни отсюда,22,StandX,Биржи (CEX),standx.com,https://standx.com,yes,manual_exchange,биржа — нужна твоя рефка,https://standx.com/referral?code=supreme,crypton,no,
23,ТОП — начни отсюда,23,Arkham Exchange,Биржи (CEX),arkm.com,https://arkm.com,yes,manual_exchange,биржа — нужна твоя рефка,,crypton+maxy,yes,
24,ТОП — начни отсюда,24,edgeX,Биржи (CEX),pro.edgex.exchange,https://pro.edgex.exchange,yes,manual_exchange,биржа — нужна твоя рефка,https://pro.edgex.exchange/en-US/referral/132788174,crypton+maxy,yes,
25,ТОП — начни отсюда,25,Extended,Биржи (CEX),app.extended.exchange,https://app.extended.exchange,yes,manual_exchange,биржа — нужна твоя рефка,https://app.extended.exchange/join/SUPREME,crypton+maxy,yes,
26,ТОП — начни отсюда,26,Lighter,Биржи (CEX),app.lighter.xyz,https://app.lighter.xyz,yes,manual_exchange,биржа — нужна твоя рефка,https://app.lighter.xyz/?referral=SUPREME,crypton+maxy,yes,
27,ТОП — начни отсюда,27,Paradex,Биржи (CEX),app.paradex.trade,https://app.paradex.trade,yes,manual_exchange,биржа — нужна твоя рефка,https://app.paradex.trade/r/supreme,crypton+maxy,yes,
28,ТОП — начни отсюда,28,Ostium,Биржи (CEX),app.ostium.com,https://app.ostium.com/trade,yes,manual_exchange,биржа — нужна твоя рефка,,crypton+maxy,yes,
29,ТОП — начни отсюда,29,Jupiter,Perp DEX / Trading,jup.ag,https://jup.ag,yes,pending,рефка возможна — проверь,https://jup.ag/?ref=v0pf9ncogz37,crypton+maxy,yes,
30,ТОП — начни отсюда,30,GMX,Perp DEX / Trading,app.gmx.io,https://app.gmx.io,yes,pending,рефка возможна — проверь,https://app.gmx.io/#/trade/?ref=supreme,crypton+maxy,yes,Тут в разных сетях одна речка
31,ТОП — начни отсюда,31,Drift Protocol,Perp DEX / Trading,app.drift.trade,https://app.drift.trade,yes,pending,рефка возможна — проверь,,crypton+maxy,yes,
